id,observed_on,time_observed_at,quality_grade,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_family_name
2888382,6/4/16,2016-04-06 03:54:00 UTC,research,"West, SG",1.306605,103.765774,8,8,,,FALSE,,,Plantain Squirrel,Callosciurus notatus,Plantain Squirrel,Mammalia,45945,Rodentia,Sciuridae
2898593,8/4/16,2016-04-08 09:48:00 UTC,research,"Central, SG",1.315712,103.891926,34,34,,,FALSE,,,Oriental Garden Lizard,Calotes versicolor,Changeable Lizard,Reptilia,31281,Squamata,Agamidae
2903593,9/4/16,2016-04-09 04:41:15 UTC,research,,1.26726759,103.8003884,5,5,,obscured,TRUE,,,Rotwangenschmuckschildkröte,Trachemys scripta elegans,Red-eared Slider,Reptilia,51271,Testudines,Emydidae
2910509,9/4/16,2016-04-09 04:21:16 UTC,research,2 Petir Rd,1.377717205,103.7635024,6,6,,,FALSE,gps,gps,Oriental Garden Lizard,Calotes versicolor,Changeable Lizard,Reptilia,31281,Squamata,Agamidae
2943338,16/4/16,2016-04-16 01:19:34 UTC,research,Commonwealth Ave W,1.3081782,103.7883486,118,118,,,FALSE,,,Changeable Lizard,Calotes versicolor,Changeable Lizard,Reptilia,31281,Squamata,Agamidae
2943969,16/4/16,2016-04-15 16:37:00 UTC,research,"North-East, SG",1.37479,103.903949,40,40,,open,FALSE,,manual,Kaloula pulchra,Kaloula pulchra,Asian Painted Frog,Amphibia,326303,Anura,Microhylidae
2972317,16/4/16,,research,"Singapore, Sunrise Ave",1.389112,103.857358,497,497,,,FALSE,,,Oriental Garden Lizard,Calotes versicolor,Changeable Lizard,Reptilia,31281,Squamata,Agamidae
2972428,11/4/16,2016-04-11 06:35:00 UTC,research,"Central, SG",1.318715,103.815694,216,216,,,FALSE,,,Oriental Garden Lizard,Calotes versicolor,Changeable Lizard,Reptilia,31281,Squamata,Agamidae
2980407,26/3/16,2016-03-26 08:36:04 UTC,research,,1.319955262,103.8945584,59,31446,,obscured,TRUE,,,Smooth-coated Otter,Lutrogale perspicillata,Smooth-coated Otter,Mammalia,41856,Carnivora,Mustelidae
2980440,24/1/16,2016-01-24 00:49:44 UTC,research,,1.327144416,103.9762115,100,31446,,obscured,TRUE,,,Smooth-coated Otter,Lutrogale perspicillata,Smooth-coated Otter,Mammalia,41856,Carnivora,Mustelidae
